name,email,country,language,city,instagram,phone,organization,type,notes
350.org,,FRA,en,San,@350org,,350.org,ngo,Global climate movement
Greenbelt Alliance,,FRA,en,San,@greenbeltca,,Greenbelt Alliance,ngo,Protects open spaces and promotes smart growth
The Trust for Public Land,,FRA,en,San,@trustforpublicland,,The Trust for Public Land,ngo,Creates parks and protects land for people
The San Francisco Foundation,,FRA,en,San,@sf_foundation,,The San Francisco Foundation,ngo,Promotes social equity and environmental health
The Exploratorium,,FRA,en,San,@exploratorium,,The Exploratorium,ngo,"Museum of science, art, and human perception"
The Bay Institute,,FRA,en,San,@thebayinstitute,,The Bay Institute,ngo,Protects and restores the ecosystems of the Bay Area
The Marine Mammal Center,,FRA,en,San,@marinemammalcenter,,The Marine Mammal Center,ngo,Rescues and rehabilitates marine mammals
The Center for Environmental Health,,FRA,en,San,@ceh_org,,Center for Environmental Health,ngo,Protects people from toxic chemicals
The Institute for Policy Studies,,FRA,en,San,@ips_dc,,Institute for Policy Studies,ngo,Progressive think tank for peace and justice
The Global Footprint Network,,FRA,en,San,@footprintnetwork,,Global Footprint Network,ngo,Advances sustainability through ecological footprint
The Center for Climate Protection,,FRA,en,San,@climateprotection,,Center for Climate Protection,ngo,Promotes climate solutions and policies
The Environmental Working Group,,FRA,en,San,@environmentalworkinggroup,,Environmental Working Group,ngo,Researches and advocates for environmental health
The Center for Ecoliteracy,,FRA,en,San,@ecoliteracy,,Center for Ecoliteracy,ngo,Promotes ecological education and sustainable living
Save The Bay,,FRA,en,San,@savethebayca,,,ngo,Protects and restores San Francisco Bay
Rainforest Action Network,,FRA,en,San,@rainforestalliance,,,ngo,Focuses on forest conservation and climate
California Native Plant Society,,FRA,en,San,@canativeplants,,,ngo,Protects California's native plants
The Watershed Project,,FRA,en,San,@thewatershedproject,,,ngo,Focuses on watershed protection and education
Bay Area Climate Collaborative,,FRA,en,San,@baclimate,,,ngo,Promotes regional climate solutions
Transition US,,FRA,en,San,@transitionus,,,ngo,Supports community-led sustainability initiatives
Ecology Center,,FRA,en,San,@ecologycenter,,,ngo,Promotes sustainable living and environmental health
Plastic Pollution Coalition,,FRA,en,San,@plasticpollutes,,,ngo,Works to reduce plastic pollution globally
Surfrider Foundation San Francisco,,FRA,en,San,@surfridersf,,,ngo,Protects oceans and beaches in SF
Bay Area Ridge Trail Council,,FRA,en,San,@bayarearidgetrail,,,ngo,Develops and promotes the Ridge Trail
San Francisco Botanical Garden,,FRA,en,San,@sfbgsociety,,,ngo,Promotes plant conservation and education
The Climate Center,,FRA,en,San,@theclimatecenter,,,ngo,Advocates for rapid climate solutions
The San Francisco Foundation,,FRA,en,San,@thesffoundation,,,ngo,Supports community initiatives including environment
The Institute for Transportation and Development Policy,,FRA,en,San,@itdp_hq,,,ngo,Promotes sustainable transportation solutions
The Energy Foundation,,FRA,en,San,@energyfoundation,,,ngo,Supports clean energy policies and initiatives
The San Francisco Conservation Corps,,FRA,en,San,@sfccorg,,,ngo,Provides environmental job training for youth
The San Francisco Estuary Institute,,FRA,en,San,@sfei_asc,,,ngo,Researches and monitors the SF Estuary
The San Francisco Green Business Program,,FRA,en,San,@sfgreenbiz,,,ngo,Certifies and supports green businesses
The San Francisco Housing Action Coalition,,FRA,en,San,@sfhac,,,ngo,Advocates for sustainable housing solutions
The San Francisco Human Services Agency,,FRA,en,San,@sfhumanservices,,,ngo,Provides social services including environmental health
The San Francisco Public Health Foundation,,FRA,en,San,@sfpublichealth,,,ngo,Supports public health initiatives including environment
The San Francisco Recreation and Park Department,,FRA,en,San,@sfrecpark,,,ngo,Manages city parks and recreational areas
The San Francisco Unified School District Green Schoolyard Alliance,,FRA,en,San,@sfusdgreen,,,ngo,Promotes green schoolyards and environmental education
The San Francisco Youth Commission,,FRA,en,San,@sfyouthcommission,,,ngo,Engages youth in civic and environmental issues
Greenaction for Health and Environmental Justice,,FRA,en,San,@greenaction4ej,,,ngo,Environmental justice and health advocacy
San Francisco Botanical Garden,,FRA,en,San,@sfgarden,,,ngo,Conservation and education on plant biodiversity
Golden Gate National Parks Conservancy,,FRA,en,San,@parks4all,,,ngo,Supports Golden Gate National Parks
San Francisco Zoo,,FRA,en,San,@sanfranciscozoo,,,ngo,Wildlife conservation and education
California Native Plant Society,,FRA,en,San,@californianativeplantsociety,,,ngo,Conservation of native plants
San Francisco Bay Bird Observatory,,FRA,en,San,@sfbbo,,,ngo,Bird conservation and research
San Francisco Climate Action Network,,FRA,en,San,@sfclimateaction,,,ngo,Local climate action and advocacy
San Francisco Clean City Coalition,,FRA,en,San,@cleancitysf,,,ngo,Urban cleanliness and waste management
